"bldg_id","in.sqft","in.bedrooms","in.geometry_stories","in.hvac_cooling_type","in.hvac_heating_type","in.hvac_heating_efficiency","in.hvac_cooling_efficiency","in.hvac_has_ducts","in.county","in.occupants"
9860,885,2,1,"Room AC","Non-Ducted Heating","Electric Baseboard, 100% Efficiency","Room AC, EER 10.7","No","G4500410","1"
20214,2176,3,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","2"
31413,1220,2,1,"Central AC","Ducted Heating","Fuel Furnace, 80% AFUE","AC, SEER 13","Yes","G4500410","7"
36049,2663,3,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","3"
39100,1220,3,1,"None","Ducted Heating","Fuel Furnace, 80% AFUE","None","Yes","G4500410","1"
46935,1690,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 8","Yes","G4500410","1"
47845,1220,1,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","1"
48995,1220,3,1,"Central AC","Ducted Heating","Other","AC, SEER 10","Yes","G4500410","3"
54651,1220,3,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","2"
60481,1690,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","1"
65544,1220,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","1"
68054,1220,4,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","1"
68925,3301,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","3"
72950,2176,3,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 15","Yes","G4500410","1"
74234,2176,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","3"
82190,2176,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","3"
82435,3301,3,2,"Heat Pump","Ducted Heat Pump","ASHP, SEER 15, 8.5 HSPF","Heat Pump","Yes","G4500410","2"
87900,1690,4,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","6"
88541,1690,4,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 10, 6.2 HSPF","Heat Pump","Yes","G4500410","4"
89254,1690,3,2,"Central AC","Ducted Heating","Fuel Furnace, 92.5% AFUE","AC, SEER 13","Yes","G4500410","4"
91773,1220,4,1,"Central AC","Ducted Heating","Fuel Furnace, 80% AFUE","AC, SEER 13","Yes","G4500410","2"
93306,1690,4,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 15, 8.5 HSPF","Heat Pump","Yes","G4500410","1"
96136,2663,4,2,"Room AC","Non-Ducted Heating","Fuel Boiler, 80% AFUE","Room AC, EER 9.8","No","G4500410","4"
98056,1220,4,1,"Central AC","Ducted Heating","Fuel Furnace, 76% AFUE","AC, SEER 13","Yes","G4500410","6"
99047,1690,4,2,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","3"
