"date_time","Dry Bulb Temperature [°C]","Relative Humidity [%]","Wind Speed [m/s]","Wind Direction [Deg]","Global Horizontal Radiation [W/m2]","Direct Normal Radiation [W/m2]","Diffuse Horizontal Radiation [W/m2]"
2018-01-01 01:00:00,-1.7,31.14,6.2,20,0,0,0
2018-01-01 02:00:00,-1.7,29.46,4.6,30,0,0,0
2018-01-01 03:00:00,-2.2,22.53,5.7,30,0,0,0
2018-01-01 04:00:00,-2.2,21.49,5.1,30,0,0,0
2018-01-01 05:00:00,-2.8,25.09,6.2,50,0,0,0
2018-01-01 06:00:00,-3.3,24.72,5.1,30,0,0,0
2018-01-01 07:00:00,-3.3,27.43,5.7,20,0,0,0
2018-01-01 08:00:00,-3.3,30.42,6.2,40,3,13.5,3
2018-01-01 09:00:00,-3.3,22.25,7.2,50,56,35.5,49.5
2018-01-01 10:00:00,-2.8,20.14,6.2,50,254.5,548.5,79
2018-01-01 11:00:00,-1.7,17.5,7.7,20,411,749,94
2018-01-01 12:00:00,-1.1,15.71,8.2,30,528.5,852.5,94.5
2018-01-01 13:00:00,-1.7,19.46,5.7,30,488,628,148.5
2018-01-01 14:00:00,-1.1,16.65,6.2,20,488.5,698,125
2018-01-01 15:00:00,-1.7,21.61,4.6,20,358,451,151.5
2018-01-01 16:00:00,-1.7,20.61,7.2,360,210,228.5,133
2018-01-01 17:00:00,-2.2,23.85,5.1,10,102.5,178,68
2018-01-01 18:00:00,-3.3,27.43,3.1,10,12.5,48,10
2018-01-01 19:00:00,-5,35.14,2.6,360,0,0,0
2018-01-01 20:00:00,-5.6,36.99,2.6,10,0,0,0
2018-01-01 21:00:00,-6.1,38.62,1.5,350,0,0,0
2018-01-01 22:00:00,-6.7,43.01,2.6,360,0,0,0
2018-01-01 23:00:00,-6.1,42.78,4.1,10,0,0,0
2018-01-02,-6.1,40.84,4.6,10,0,0,0
2018-01-02 01:00:00,-6.1,40.84,4.1,10,0,0,0
2018-01-02 02:00:00,-6.7,43.01,4.1,360,0,0,0
2018-01-02 03:00:00,-7.2,44.92,4.1,20,0,0,0
2018-01-02 04:00:00,-7.8,47.33,4.6,20,0,0,0
2018-01-02 05:00:00,-8.3,49.45,4.1,10,0,0,0
2018-01-02 06:00:00,-8.3,49.45,4.6,10,0,0,0
2018-01-02 07:00:00,-9.4,54.47,3.6,10,0,0,0
2018-01-02 08:00:00,-8.9,54.6,3.1,20,6.5,71.5,6
2018-01-02 09:00:00,-6.7,45.06,5.7,30,126.5,618,36
2018-01-02 10:00:00,-5,35.14,5.1,30,309.5,844.5,54
2018-01-02 11:00:00,-3.9,32,4.1,30,465,935,65.5
2018-01-02 12:00:00,-2.2,27.73,5.7,10,564.5,963,73.5
2018-01-02 13:00:00,-1.1,24.14,3.1,149.23,612,996.5,71.5
2018-01-02 14:00:00,0,22.04,4.6,20,587.5,991,68.5
2018-01-02 15:00:00,0.6,19.95,4.1,360,499.5,960,63.5
2018-01-02 16:00:00,1.1,19.24,3.6,10,356.5,886.5,55
2018-01-02 17:00:00,0,20.83,2.6,60,177,716.5,40
2018-01-02 18:00:00,-1.7,22.88,2.1,60,22,190.5,11
2018-01-02 19:00:00,-3.3,30.42,0,0,0,0,0
2018-01-02 20:00:00,-4.4,39.1,0,249.17,0,0,0
2018-01-02 21:00:00,-5.6,45.78,0,53.85,0,0,0
2018-01-02 22:00:00,-4.4,36.99,2.6,50,0,0,0
2018-01-02 23:00:00,-7.2,58.12,0,288.18,0,0,0
2018-01-03,-7.2,55.03,3.1,50,0,0,0
2018-01-03 01:00:00,-6.7,47.63,2.1,50,0,0,0
2018-01-03 02:00:00,-6.7,52.69,2.6,60,0,0,0
2018-01-03 03:00:00,-6.7,55.66,3.1,50,0,0,0
2018-01-03 04:00:00,-6.1,50.03,3.6,40,0,0,0
2018-01-03 05:00:00,-6.7,52.69,2.6,20,0,0,0
2018-01-03 06:00:00,-6.1,50.03,3.6,30,0,0,0
2018-01-03 07:00:00,-6.1,50.03,2.6,40,0,0,0
2018-01-03 08:00:00,-5.6,47.92,3.6,20,4,21.5,4
2018-01-03 09:00:00,-4.4,43.25,3.1,50,76.5,173,50.5
2018-01-03 10:00:00,-2.8,36.09,5.1,40,139,148.5,94
2018-01-03 11:00:00,-2.2,32.47,5.1,20,145,53.5,123
2018-01-03 12:00:00,-1.7,31.14,4.6,10,111.5,1,111
2018-01-03 13:00:00,-1.1,26.76,3.6,360,90.5,0,90.5
2018-01-03 14:00:00,-0.6,25.67,4.1,350,44.5,0,44.5
2018-01-03 15:00:00,0,23.1,4.1,350,37,0,37
2018-01-03 16:00:00,-2.47,82.86,4.19,351.43,21.5,0,21.5
2018-01-03 17:00:00,-3.9,91.06,3.85,175,23.5,0,23.5
2018-01-03 18:00:00,-3.9,91.06,4.6,335,3.5,0,3.5
2018-01-03 19:00:00,-3.3,86.56,4.35,360,0,0,0
2018-01-03 20:00:00,-3.3,86.56,4.35,345,0,0,0
2018-01-03 21:00:00,-3.05,87.34,4.6,335,0,0,0
2018-01-03 22:00:00,-2.8,87.34,4.43,326.67,0,0,0
2018-01-03 23:00:00,-2.8,82.99,5.1,320,0,0,0
2018-01-04,-4.4,78.6,3.5,310,0,0,0
2018-01-04 01:00:00,-5,68.22,3.5,300,0,0,0
2018-01-04 02:00:00,-5.6,61.74,4,300,0,0,0
2018-01-04 03:00:00,-6.7,64.33,4.1,290,0,0,0
2018-01-04 04:00:00,-6.7,61.49,4.1,290,0,0,0
2018-01-04 05:00:00,-7.2,60.83,4.1,290,0,0,0
2018-01-04 06:00:00,-7.2,60.83,3.6,280,0,0,0
2018-01-04 07:00:00,-7.2,58.12,3.6,270,0,0,0
2018-01-04 08:00:00,-7.2,58.12,4.1,290,3,13,3
2018-01-04 09:00:00,-5,53.13,4.1,280,73,125,51
2018-01-04 10:00:00,-2.8,48.67,4.1,280,259.5,552.5,88
2018-01-04 11:00:00,-1.1,44.16,3.6,290,454.5,830,98
2018-01-04 12:00:00,0,40.32,5.7,320,572,911,106
2018-01-04 13:00:00,1.1,39.28,5.1,290,616,926,111
2018-01-04 14:00:00,2.2,29.81,6.7,310,592.5,922,106.5
2018-01-04 15:00:00,2.8,27.05,5.7,310,505.5,896.5,94.5
2018-01-04 16:00:00,2.8,25.85,7.7,300,363.5,832,76.5
2018-01-04 17:00:00,1.7,23.93,4.6,330,181.5,664,51.5
2018-01-04 18:00:00,-0.6,31.45,3.6,320,25,196.5,14.5
2018-01-04 19:00:00,-1.1,31.31,5.7,330,0,0,0
2018-01-04 20:00:00,-2.8,34.15,2.6,330,0,0,0
2018-01-04 21:00:00,-2.8,32.3,4.1,330,0,0,0
2018-01-04 22:00:00,-3.9,33.84,3.6,330,0,0,0
2018-01-04 23:00:00,-5,38.93,2.6,310,0,0,0
2018-01-05,-5,37.16,3.1,300,0,0,0
2018-01-05 01:00:00,-5.6,39.12,3.1,290,0,0,0
2018-01-05 02:00:00,-6.7,43.01,2.6,300,0,0,0
2018-01-05 03:00:00,-8.3,51.8,2.6,290,0,0,0
2018-01-05 04:00:00,-8.3,54.75,2.1,280,0,0,0
2018-01-05 05:00:00,-9.4,60.31,2.1,280,0,0,0
2018-01-05 06:00:00,-10,63.61,3.1,270,0,0,0
2018-01-05 07:00:00,-11.1,70.16,2.6,280,0,0,0
2018-01-05 08:00:00,-11.7,74.04,0,168.46,6,62.5,5.5
2018-01-05 09:00:00,-7.8,61.24,2.1,260,120,546.5,40.5
2018-01-05 10:00:00,-5,45.52,4.1,250,297,741.5,70
2018-01-05 11:00:00,-2.8,36.09,4.1,280,466,895.5,81
2018-01-05 12:00:00,-1.1,29.63,4.1,300,573.5,940,92
2018-01-05 13:00:00,0,25.59,4.6,300,618,955,96.5
2018-01-05 14:00:00,1.1,24.98,4.1,290,592,942,93.5
2018-01-05 15:00:00,1.7,22.64,6.2,300,502.5,904,86
2018-01-05 16:00:00,1.7,25.29,4.1,260,358.5,825,72
2018-01-05 17:00:00,1.1,30.55,2.6,240,179,648,50
2018-01-05 18:00:00,0.6,28.65,2.1,210,25.5,190.5,14.5
2018-01-05 19:00:00,-2.2,46.28,0,79.23,0,0,0
2018-01-05 20:00:00,-3.3,53.08,0,207.5,0,0,0
2018-01-05 21:00:00,-5,61.33,2.6,30,0,0,0
2018-01-05 22:00:00,-6.7,67.89,0,108.33,0,0,0
2018-01-05 23:00:00,-7.2,74.13,0,313.08,0,0,0
2018-01-06,-4.4,50.48,3.6,350,0,0,0
2018-01-06 01:00:00,-5,43.48,3.1,10,0,0,0
2018-01-06 02:00:00,-5,41.15,4.6,20,0,0,0
2018-01-06 03:00:00,-6.1,42.78,2.6,20,0,0,0
2018-01-06 04:00:00,-7.2,44.92,2.6,20,0,0,0
2018-01-06 05:00:00,-7.8,47.33,2.6,20,0,0,0
2018-01-06 06:00:00,-7.8,47.33,2.6,10,0,0,0
2018-01-06 07:00:00,-7.8,47.33,1.5,10,0,0,0
