time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-04-01T01:00:00Z,8.3,65.4,1.5,170,0,0,0
2018-04-01T02:00:00Z,7.8,67.66,0,160.77,0,0,0
2018-04-01T03:00:00Z,6.7,76.14,0,15.38,0,0,0
2018-04-01T04:00:00Z,6.1,79.36,0,37.69,0,0,0
2018-04-01T05:00:00Z,4.4,89.33,1.5,270,0,0,0
2018-04-01T06:00:00Z,4.4,92.55,0,196.67,0,0,0
2018-04-01T07:00:00Z,6.1,85.77,1.5,160,20,58.5,16
2018-04-01T08:00:00Z,10,82.72,0,222.31,178,464,64.5
2018-04-01T09:00:00Z,15,74.95,3.1,230,404.5,715,93.5
2018-04-01T10:00:00Z,19.4,46.96,2.6,260,608,820.5,108.5
2018-04-01T11:00:00Z,21.7,35.02,4.6,210,764,858,124.5
2018-04-01T12:00:00Z,23.3,31.78,4.1,310,876.5,904.5,122.5
2018-04-01T13:00:00Z,23.9,27.22,4.1,270,855,734,218
2018-04-01T14:00:00Z,24.4,27.36,3.6,220,845.5,767,196
2018-04-01T15:00:00Z,25.6,24.59,5.7,220,696,568.5,255.5
2018-04-01T16:00:00Z,25.6,22.75,3.1,230,585.5,625,181.5
2018-04-01T17:00:00Z,25.6,22.75,4.1,220,390.5,499,149.5
2018-04-01T18:00:00Z,24.4,25.32,3.1,190,210.5,431.5,84.5
2018-04-01T19:00:00Z,22.2,28.92,2.1,200,48,179,28.5
2018-04-01T20:00:00Z,19.4,37.12,2.6,190,0,0,0
2018-04-01T21:00:00Z,17.2,58.1,3.6,170,0,0,0
2018-04-01T22:00:00Z,17.2,70.06,2.6,180,0,0,0
2018-04-01T23:00:00Z,16.1,77.65,3.6,190,0,0,0
2018-04-02T01:00:00Z,14.4,86.62,3.1,190,0,0,0
2018-04-02T02:00:00Z,14.4,86.62,2.6,200,0,0,0
2018-04-02T03:00:00Z,13.3,90.02,2.1,210,0,0,0
2018-04-02T04:00:00Z,14.4,86.62,3.1,220,0,0,0
2018-04-02T05:00:00Z,14.4,86.62,3.1,220,0,0,0
2018-04-02T06:00:00Z,13.3,93.04,2.6,210,0,0,0
2018-04-02T07:00:00Z,13.9,93.07,2.6,220,19.5,59,15.5
2018-04-02T08:00:00Z,16.1,83.46,4.6,220,174,435.5,66.5
2018-04-02T09:00:00Z,20.6,60.9,4.1,240,382,625,107
2018-04-02T10:00:00Z,23.3,48.04,6.2,240,582.5,734,132
2018-04-02T11:00:00Z,25,43.38,4.6,270,766,858,124
2018-04-02T12:00:00Z,26.7,35.03,6.7,240,865,861,144
2018-04-02T13:00:00Z,27.8,30.5,6.2,230,855,716,230.5
2018-04-02T14:00:00Z,28.3,27.49,4.6,280,803,622.5,274.5
2018-04-02T15:00:00Z,28.9,27.47,5.1,250,756.5,738,183
2018-04-02T16:00:00Z,28.9,28.61,3.6,210,559,524.5,215.5
2018-04-02T17:00:00Z,28.3,27.49,4.6,230,392,494,150
2018-04-02T18:00:00Z,27.2,28.13,5.7,190,211,408,92.5
2018-04-02T19:00:00Z,24.4,34.6,3.1,190,43.5,125,30.5
2018-04-02T20:00:00Z,22.2,40.89,2.6,180,0,0,0
2018-04-02T21:00:00Z,20,46.81,2.1,190,0,0,0
2018-04-02T22:00:00Z,19.4,61.02,2.6,190,0,0,0
2018-04-02T23:00:00Z,18.9,69.93,2.6,200,0,0,0
2018-04-03T01:00:00Z,16.1,86.79,1.5,160,0,0,0
2018-04-03T02:00:00Z,15.6,92.56,1.5,160,0,0,0
2018-04-03T03:00:00Z,15.6,96.22,2.1,190,0,0,0
2018-04-03T04:00:00Z,14.18,96.17,1.8,170,0,0,0
2018-04-03T05:00:00Z,14.27,96.22,2.23,190,0,0,0
2018-04-03T06:00:00Z,14.76,100,0,47.86,0,0,0
2018-04-03T07:00:00Z,15.55,100,1.05,70,25.5,106.5,17
2018-04-03T08:00:00Z,16.4,100,0.75,38.46,153.5,351,71.5
2018-04-03T09:00:00Z,17.22,90.39,0.75,190,255.5,216,160.5
2018-04-03T10:00:00Z,20.57,73.11,2.57,205,529,568,173
2018-04-03T11:00:00Z,24.4,57.96,2.1,125,752.5,814.5,139.5
2018-04-03T12:00:00Z,26.7,46.8,2.6,210,857,842.5,149
2018-04-03T13:00:00Z,27.8,43.88,5.7,230,864,771,189.5
2018-04-03T14:00:00Z,30,32.37,7.2,250,818.5,724.5,200.5
2018-04-03T15:00:00Z,30,33.46,7.2,250,743.5,728,177
2018-04-03T16:00:00Z,30,33.46,5.1,230,630.5,753,138
2018-04-03T17:00:00Z,29.4,36.03,6.7,210,413.5,551,139
2018-04-03T18:00:00Z,27.8,42.48,5.7,190,219,423.5,94
2018-04-03T19:00:00Z,26.1,48.49,5.1,200,42.5,90,31
2018-04-03T20:00:00Z,24.4,53.65,4.1,190,0,0,0
2018-04-03T21:00:00Z,23.3,57.32,4.6,190,0,0,0
2018-04-03T22:00:00Z,22.2,63.7,5.7,190,0,0,0
2018-04-03T23:00:00Z,21.1,73.11,5.7,200,0,0,0
2018-04-04T01:00:00Z,21.1,84.04,5.7,210,0,0,0
2018-04-04T02:00:00Z,21.1,84.04,5.63,203.33,0,0,0
2018-04-04T03:00:00Z,20.6,83.98,5.1,190,0,0,0
2018-04-04T04:00:00Z,20,87.16,5.1,210,0,0,0
2018-04-04T05:00:00Z,20,87.16,5.1,210,0,0,0
2018-04-04T06:00:00Z,20,87.16,4.6,200,0,0,0
2018-04-04T07:00:00Z,20,81.29,6.2,210,16.5,11.5,16
2018-04-04T08:00:00Z,20.6,75.4,4.6,220,109,73,89.5
2018-04-04T09:00:00Z,22.2,68.35,7.2,210,274,227,165
2018-04-04T10:00:00Z,23.9,57.47,9.8,260,433.5,287,257
2018-04-04T11:00:00Z,25,53.8,6.7,250,432,119.5,343
2018-04-04T12:00:00Z,25.6,49.94,8.2,260,558,175,410.5
2018-04-04T13:00:00Z,26.1,48.49,7.7,250,608,210,423.5
2018-04-04T14:00:00Z,25.6,45,8.2,270,596.5,226.5,403
2018-04-04T15:00:00Z,25.6,45,7.7,250,498,177,359.5
2018-04-04T16:00:00Z,25,41.69,9.3,270,406,188.5,279
2018-04-04T17:00:00Z,24.4,44.96,6.2,240,188.5,34,173
2018-04-04T18:00:00Z,22.1,31.24,6.2,330,99.5,23,91.5
2018-04-04T19:00:00Z,20,23.86,4.6,340,24,2.5,24
2018-04-04T20:00:00Z,17.8,19.71,5.7,340,0,0,0
2018-04-04T21:00:00Z,15.6,23.85,3.1,330,0,0,0
2018-04-04T22:00:00Z,14.4,26.89,3.1,350,0,0,0
2018-04-04T23:00:00Z,12.8,29.84,3.1,350,0,0,0
2018-04-05T01:00:00Z,11.1,30.4,3.6,360,0,0,0
2018-04-05T02:00:00Z,10.6,29.86,6.7,10,0,0,0
2018-04-05T03:00:00Z,10,31.08,5.7,20,0,0,0
2018-04-05T04:00:00Z,7.8,37.96,3.6,10,0,0,0
2018-04-05T05:00:00Z,7.2,41.63,3.1,20,0,0,0
2018-04-05T06:00:00Z,6.1,44.9,3.6,30,0,0,0
2018-04-05T07:00:00Z,7.2,43.43,2.6,40,33.5,137.5,22
2018-04-05T08:00:00Z,9.4,35.85,4.6,50,214.5,554,71.5
2018-04-05T09:00:00Z,11.7,29.22,5.1,30,438.5,753.5,97.5
2018-04-05T10:00:00Z,12.8,24.73,3.1,10,648,856.5,113
2018-04-05T11:00:00Z,15,20.35,3.1,360,814,910.5,122
2018-04-05T12:00:00Z,15,21.43,2.1,140,920,935.5,127.5
2018-04-05T13:00:00Z,16.7,16.59,3.6,60,963,945.5,129.5
